AGRUPACION,ORDEN,DESCRIPCION,AÑO ,MES,MES DESC,TIPO, VOLUMEN PROMEDIO , VOLUMEN PROMEDIO ACUMULADO ,COMENTARIO
VENTA MERCADO INTERNO,1,GLP,2018,7,JUL,EJECUCION, 10.80 ,,
VENTA MERCADO INTERNO,2,GASOLINAS,2018,7,JUL,EJECUCION, 32.40 ,,
VENTA MERCADO INTERNO,3,TURBO A-1,2018,7,JUL,EJECUCION, 3.40 ,,
VENTA MERCADO INTERNO,4,DIESEL ALTO/BAJO AZUFRE,2018,7,JUL,EJECUCION, 66.30 ,,
VENTA MERCADO INTERNO,5,PETROLEOS INDUSTRIALES,2018,7,JUL,EJECUCION, 4.03 ,,
VENTA MERCADO INTERNO,6,CUTTER STOCK,2018,7,JUL,EJECUCION, 8.10 ,,
VENTA MERCADO INTERNO,7,OTROS,2018,7,JUL,EJECUCION, 4.50 ,,
VENTAS MERCADO EXTERIOR,8,NAFTA VIRGEN,2018,7,JUL,EJECUCION, 4.00 ,,
VENTAS MERCADO EXTERIOR,9,PETROLEOS INDUSTRIALES,2018,7,JUL,EJECUCION, 10.20 ,,
VENTAS MERCADO EXTERIOR,10,DIESEL 2,2018,7,JUL,EJECUCION, 2.80 ,,
VENTAS MERCADO EXTERIOR,11,OTROS,2018,7,JUL,EJECUCION, 1.58 ,,
VENTA MERCADO INTERNO,1,GLP,2018,12,DIC,EJECUCION, 9.90 ,,
VENTA MERCADO INTERNO,2,GASOLINAS,2018,12,DIC,EJECUCION, 33.00 ,,
VENTA MERCADO INTERNO,3,TURBO A-1,2018,12,DIC,EJECUCION, 3.20 ,,
VENTA MERCADO INTERNO,4,DIESEL ALTO/BAJO AZUFRE,2018,12,DIC,EJECUCION, 67.60 ,,
VENTA MERCADO INTERNO,5,PETROLEOS INDUSTRIALES,2018,12,DIC,EJECUCION, 3.60 ,,
VENTA MERCADO INTERNO,6,CUTTER STOCK,2018,12,DIC,EJECUCION, 7.20 ,,
VENTA MERCADO INTERNO,7,OTROS,2018,12,DIC,EJECUCION, 5.70 ,,
VENTAS MERCADO EXTERIOR,8,NAFTA VIRGEN,2018,12,DIC,EJECUCION, 4.00 ,,
VENTAS MERCADO EXTERIOR,9,PETROLEOS INDUSTRIALES,2018,12,DIC,EJECUCION, 8.80 ,,
VENTAS MERCADO EXTERIOR,10,DIESEL 2,2018,12,DIC,EJECUCION, 3.90 ,,
VENTAS MERCADO EXTERIOR,11,OTROS,2018,12,DIC,EJECUCION, 1.54 ,,
VENTA MERCADO INTERNO,1,GLP,2019,7,JUL,EJECUCION, 7.90 ,,
VENTA MERCADO INTERNO,2,GASOLINAS,2019,7,JUL,EJECUCION, 33.70 ,,
VENTA MERCADO INTERNO,3,TURBO A-1,2019,7,JUL,EJECUCION, 2.80 ,,
VENTA MERCADO INTERNO,4,DIESEL ALTO/BAJO AZUFRE,2019,7,JUL,EJECUCION, 63.70 ,,
VENTA MERCADO INTERNO,5,PETROLEOS INDUSTRIALES,2019,7,JUL,EJECUCION, 2.65 ,,
VENTA MERCADO INTERNO,6,CUTTER STOCK,2019,7,JUL,EJECUCION, 5.50 ,,
VENTA MERCADO INTERNO,7,OTROS,2019,7,JUL,EJECUCION, 6.30 ,,
VENTAS MERCADO EXTERIOR,8,NAFTA VIRGEN,2019,7,JUL,EJECUCION, 2.90 ,,
VENTAS MERCADO EXTERIOR,9,PETROLEOS INDUSTRIALES,2019,7,JUL,EJECUCION, 10.40 ,,
VENTAS MERCADO EXTERIOR,10,DIESEL 2,2019,7,JUL,EJECUCION, 6.10 ,,
VENTAS MERCADO EXTERIOR,11,OTROS,2019,7,JUL,EJECUCION, 1.89 ,,"A Julio 2019, la Empresa obtuvo un volumen de ventas totales ascendente a 144.0 MBDC inferior respecto al mismo periodo de 2018 (-4.2 MBDC), por menores ventas al mercado interno (-6.9 MBDC), tal como se detalla a continuación"
VENTA MERCADO INTERNO,1,GLP,2019,7,JUL,PRESUPUESTO, 11.00 ,,
VENTA MERCADO INTERNO,2,GASOLINAS,2019,7,JUL,PRESUPUESTO, 35.40 ,,
VENTA MERCADO INTERNO,3,TURBO A-1,2019,7,JUL,PRESUPUESTO, 3.70 ,,
VENTA MERCADO INTERNO,4,DIESEL ALTO/BAJO AZUFRE,2019,7,JUL,PRESUPUESTO, 71.60 ,,
VENTA MERCADO INTERNO,5,PETROLEOS INDUSTRIALES,2019,7,JUL,PRESUPUESTO, 3.71 ,,
VENTA MERCADO INTERNO,6,CUTTER STOCK,2019,7,JUL,PRESUPUESTO, 1.00 ,,
VENTA MERCADO INTERNO,7,OTROS,2019,7,JUL,PRESUPUESTO, 7.60 ,,
VENTAS MERCADO EXTERIOR,8,NAFTA VIRGEN,2019,7,JUL,PRESUPUESTO, 0.90 ,,
VENTAS MERCADO EXTERIOR,9,PETROLEOS INDUSTRIALES,2019,7,JUL,PRESUPUESTO, 6.40 ,,
VENTAS MERCADO EXTERIOR,10,DIESEL 2,2019,7,JUL,PRESUPUESTO, 6.60 ,,
VENTAS MERCADO EXTERIOR,11,OTROS,2019,7,JUL,PRESUPUESTO, 2.29 ,,
VENTA MERCADO INTERNO,1,GLP,2019,12,DIC,PRESUPUESTO, 11.60 ,,
VENTA MERCADO INTERNO,2,GASOLINAS,2019,12,DIC,PRESUPUESTO, 35.60 ,,
VENTA MERCADO INTERNO,3,TURBO A-1,2019,12,DIC,PRESUPUESTO, 3.70 ,,
VENTA MERCADO INTERNO,4,DIESEL ALTO/BAJO AZUFRE,2019,12,DIC,PRESUPUESTO, 72.00 ,,
VENTA MERCADO INTERNO,5,PETROLEOS INDUSTRIALES,2019,12,DIC,PRESUPUESTO, 3.54 ,,
VENTA MERCADO INTERNO,6,CUTTER STOCK,2019,12,DIC,PRESUPUESTO, 1.20 ,,
VENTA MERCADO INTERNO,7,OTROS,2019,12,DIC,PRESUPUESTO, 7.90 ,,
VENTAS MERCADO EXTERIOR,8,NAFTA VIRGEN,2019,12,DIC,PRESUPUESTO, 1.10 ,,
VENTAS MERCADO EXTERIOR,9,PETROLEOS INDUSTRIALES,2019,12,DIC,PRESUPUESTO, 7.80 ,,
VENTAS MERCADO EXTERIOR,10,DIESEL 2,2019,12,DIC,PRESUPUESTO, 6.60 ,,
VENTAS MERCADO EXTERIOR,11,OTROS,2019,12,DIC,PRESUPUESTO, 0.99 ,,
